"Depar_Level_ID","Typical for Department & Level"
"AMER_4",0
"ANAR_4",0
"ANME_1",14
"ANME_2",NA
"ANME_3",20
"ANME_5",8
"ANTH_2",22
"ANTH_3",12
"ANTH_4",8
"ARAB_1",8
"ARBI_4",0
"AREN_4",0
"ART_1",NA
"ART_2",20
"ART_3",11.5
"ART_4",0
"BIOL_1",21
"BIOL_2",13.5
"BIOL_3",12.5
"BIOL_4",11
"BIPH_4",0
"BIPY_4",0
"BMB_4",0
"CHEM_0",15
"CHEM_1",14
"CHEM_2",18
"CHEM_3",15
"CHEM_4",0
"CHIN_1",7.5
"CHIN_2",7
"CHIN_3",7
"CHIN_4",0
"CMPL_2",21
"CMPL_4",0
"CPHY_4",0
"CRES_1",23
"CRES_2",19
"CRES_3",18
"CRES_4",0
"CRWR_2",12
"CRWR_3",9
"CSCI_1",NA
"CSCI_2",10
"CSCI_3",21.5
"CSCI_4",6.5
"CSMA_4",0
"DANC_1",2
"DANC_2",19
"DANC_3",4
"DANC_4",11
"ECMA_4",0
"ECON_2",15
"ECON_3",15.5
"ECON_4",2.5
"ECPS_4",0
"ENG_2",19
"ENG_3",22
"ENG_4",0
"ENV_2",21
"ENV_3",19
"ENV_4",0
"FREN_1",7.5
"FREN_2",11.5
"FREN_3",7
"FREN_4",0
"GER_1",9.5
"GER_2",11
"GER_3",5
"GER_4",0
"GLAM_4",0
"GRK_1",9
"GRK_2",3
"GRK_3",4
"HISL_4",0
"HIST_2",22
"HIST_3",17.5
"HIST_4",8
"HUM_1",15
"HUM_2",10
"ICPS_3",6
"ICPS_4",0
"LAT_1",9
"LAT_3",12
"LBST_5",3
"LING_2",21.5
"LING_3",5.5
"LING_4",3
"LIT_2",23
"LIT_3",18
"LIT_4",NA
"LIT_5",4
"LITC_3",9
"LITG_3",NA
"LITL_2",NA
"LITR_3",17
"LITS_3",21
"LTHE_4",0
"MALS_6",0
"MATH_1",18
"MATH_2",23
"MATH_3",15.5
"MATH_4",13
"MPHY_4",0
"MUS_1",23
"MUS_2",16
"MUS_3",16
"MUS_4",0
"NEUR_4",0
"PHIL_2",17.5
"PHIL_3",9
"PHIL_4",5
"PHYB_4",0
"PHYS_1",10.5
"PHYS_2",11
"PHYS_3",7
"PHYS_4",5
"POL_2",13
"POL_3",13
"POL_4",0
"PSRL_4",0
"PSY_2",NA
"PSY_3",13
"PSY_4",0
"REAM_4",0
"REL_1",21
"REL_2",13
"REL_3",9
"REL_4",4
"REPO_4",0
"RTHE_4",0
"RUAN_4",0
"RUSS_1",6
"RUSS_2",4
"RUSS_3",15
"RUSS_4",0
"SA_3",1
"SOC_2",19
"SOC_3",11.5
"SOC_4",0
"SOSP_4",0
"SPAN_1",12
"SPAN_2",11
"SPAN_3",18.5
"SPAN_4",0
"THDC_4",0
"THEA_1",11
"THEA_2",9
"THEA_4",0
